                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                 1.2264,                 1.1141,                 1.7604,                0.89874,                0.80307,                0.88204,                0.63801,                    nan,                    nan,                    nan,              0.0009197,              0.0009197,              0.0009197
                     38,                 1.2771,                 1.1736,                 1.7887,                0.92577,                0.80967,                0.88678,                0.64925,                    nan,                    nan,                    nan,             0.00090556,             0.00090556,             0.00090556
                     39,                 1.2649,                  1.186,                 1.7695,                0.96023,                0.79935,                0.89984,                  0.661,                    nan,                    nan,                    nan,             0.00089141,             0.00089141,             0.00089141
                     40,                  1.232,                 1.1391,                 1.7507,                0.95395,                0.79783,                0.87941,                0.63621,                    nan,                    nan,                    nan,             0.00087726,             0.00087726,             0.00087726
                     41,                 1.2025,                 1.1447,                 1.7191,                0.95586,                0.82315,                0.91345,                0.67236,                    nan,                    nan,                    nan,             0.00086312,             0.00086312,             0.00086312
                     42,                 1.1901,                 1.1038,                 1.7132,                0.96453,                0.83829,                0.91413,                0.67766,                    nan,                    nan,                    nan,             0.00084897,             0.00084897,             0.00084897
                     43,                 1.2044,                  1.098,                  1.724,                0.93222,                0.81202,                  0.883,                 0.6557,                    nan,                    nan,                    nan,             0.00083482,             0.00083482,             0.00083482
                     44,                 1.1802,                 1.0563,                 1.7105,                0.95557,                0.87771,                0.94091,                0.69411,                    nan,                    nan,                    nan,             0.00082067,             0.00082067,             0.00082067
                     45,                  1.178,                 1.0447,                 1.6922,                0.94686,                0.81277,                0.87523,                0.64716,                    nan,                    nan,                    nan,             0.00080653,             0.00080653,             0.00080653
                     46,                 1.1982,                 1.0699,                 1.6801,                0.92591,                0.78794,                 0.8679,                0.66283,                    nan,                    nan,                    nan,             0.00079238,             0.00079238,             0.00079238
                     47,                 1.1212,                0.99572,                 1.6296,                0.95728,                0.83605,                0.89637,                0.67481,                    nan,                    nan,                    nan,             0.00077823,             0.00077823,             0.00077823
                     48,                 1.1774,                 1.0026,                 1.6679,                0.95425,                0.81496,                0.88678,                0.69731,                    nan,                    nan,                    nan,             0.00076409,             0.00076409,             0.00076409
                     49,                  1.152,                  1.041,                 1.6446,                0.96839,                0.81849,                0.89057,                0.67464,                    nan,                    nan,                    nan,             0.00074994,             0.00074994,             0.00074994
                     50,                 1.1621,                 1.0249,                 1.6599,                0.98012,                0.81984,                0.88539,                 0.6904,                    nan,                    nan,                    nan,             0.00073579,             0.00073579,             0.00073579
                     51,                 1.0852,                0.95992,                 1.5856,                0.99147,                0.83959,                0.91375,                0.71965,                    nan,                    nan,                    nan,             0.00072164,             0.00072164,             0.00072164
                     52,                 1.1449,                 1.0051,                 1.6514,                0.98678,                0.85039,                0.92244,                0.72125,                    nan,                    nan,                    nan,              0.0007075,              0.0007075,              0.0007075
                     53,                 1.1304,                0.97749,                 1.6321,                0.92092,                0.80638,                0.87403,                0.65948,                    nan,                    nan,                    nan,             0.00069335,             0.00069335,             0.00069335
