                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                0.94352,                0.75303,                 1.4586,                0.96403,                0.86418,                 0.9275,                0.75391,                    nan,                    nan,                    nan,              0.0009197,              0.0009197,              0.0009197
                     38,                0.99269,                0.79621,                 1.4617,                 0.9895,                0.85223,                0.91907,                 0.7436,                    nan,                    nan,                    nan,             0.00090556,             0.00090556,             0.00090556
                     39,                0.97088,                0.79963,                 1.4582,                0.93438,                0.84729,                0.90364,                0.73298,                    nan,                    nan,                    nan,             0.00089141,             0.00089141,             0.00089141
                     40,                0.95081,                0.75636,                 1.4371,                0.96997,                0.84932,                0.92575,                0.74532,                    nan,                    nan,                    nan,             0.00087726,             0.00087726,             0.00087726
                     41,                0.95608,                0.77843,                 1.4356,                0.98329,                0.87656,                0.93953,                0.76813,                    nan,                    nan,                    nan,             0.00086312,             0.00086312,             0.00086312
                     42,                0.93928,                0.74804,                 1.4252,                0.98013,                0.85659,                0.92564,                0.76877,                    nan,                    nan,                    nan,             0.00084897,             0.00084897,             0.00084897
                     43,                0.95108,                0.75995,                  1.442,                0.97814,                 0.8636,                0.90173,                 0.7601,                    nan,                    nan,                    nan,             0.00083482,             0.00083482,             0.00083482
                     44,                0.91948,                0.74793,                 1.4087,                0.97123,                0.91074,                 0.9606,                 0.7917,                    nan,                    nan,                    nan,             0.00082067,             0.00082067,             0.00082067
                     45,                0.92536,                0.72534,                  1.419,                0.98459,                0.84706,                0.89945,                0.75566,                    nan,                    nan,                    nan,             0.00080653,             0.00080653,             0.00080653
                     46,                0.91924,                 0.7615,                 1.4071,                0.98509,                0.85594,                0.90293,                0.76418,                    nan,                    nan,                    nan,             0.00079238,             0.00079238,             0.00079238
                     47,                0.88007,                0.68863,                  1.376,                0.94882,                0.85165,                0.89842,                0.75807,                    nan,                    nan,                    nan,             0.00077823,             0.00077823,             0.00077823
                     48,                0.93487,                0.73531,                 1.4275,                0.98106,                0.86719,                0.94779,                0.80319,                    nan,                    nan,                    nan,             0.00076409,             0.00076409,             0.00076409
                     49,                0.95501,                 0.7722,                 1.4375,                0.99771,                 0.8626,                0.92582,                0.78078,                    nan,                    nan,                    nan,             0.00074994,             0.00074994,             0.00074994
                     50,                 0.9265,                0.73966,                 1.4113,                0.99505,                 0.8533,                0.90323,                0.75251,                    nan,                    nan,                    nan,             0.00073579,             0.00073579,             0.00073579
                     51,                0.90918,                0.72952,                 1.3791,                0.96896,                0.85733,                 0.9087,                0.76261,                    nan,                    nan,                    nan,             0.00072164,             0.00072164,             0.00072164
                     52,                0.93382,                0.74212,                 1.4161,                0.98664,                0.87671,                0.93481,                0.78741,                    nan,                    nan,                    nan,              0.0007075,              0.0007075,              0.0007075
                     53,                0.91114,                0.70681,                 1.3991,                0.98692,                 0.8678,                0.92038,                0.77776,                    nan,                    nan,                    nan,             0.00069335,             0.00069335,             0.00069335
                     54,                0.91311,                0.73906,                 1.4126,                0.98968,                0.85932,                0.90608,                0.77419,                    nan,                    nan,                    nan,              0.0006792,              0.0006792,              0.0006792
                     55,                0.89399,                0.72137,                 1.3791,                0.98051,                0.86552,                0.94298,                0.80171,                    nan,                    nan,                    nan,             0.00066506,             0.00066506,             0.00066506
                     56,                0.86194,                 0.6879,                 1.3498,                0.98716,                0.82211,                0.88738,                 0.7426,                    nan,                    nan,                    nan,             0.00065091,             0.00065091,             0.00065091
                     57,                0.88062,                0.70389,                 1.3727,                0.97988,                0.85315,                0.89129,                  0.763,                    nan,                    nan,                    nan,             0.00063676,             0.00063676,             0.00063676
                     58,                0.88213,                0.66978,                  1.371,                0.99281,                0.86052,                0.90566,                0.77295,                    nan,                    nan,                    nan,             0.00062262,             0.00062262,             0.00062262
                     59,                0.84838,                0.64687,                 1.3391,                0.99342,                0.87516,                0.92622,                0.77896,                    nan,                    nan,                    nan,             0.00060847,             0.00060847,             0.00060847
                     60,                0.86295,                0.65571,                 1.3484,                0.98805,                0.87655,                0.93783,                0.80201,                    nan,                    nan,                    nan,             0.00059432,             0.00059432,             0.00059432
                     61,                0.88131,                0.68735,                 1.3566,                0.98778,                0.86761,                0.92148,                0.79313,                    nan,                    nan,                    nan,             0.00058017,             0.00058017,             0.00058017
                     62,                0.86717,                0.64803,                 1.3555,                0.98962,                0.87445,                0.94448,                0.79637,                    nan,                    nan,                    nan,             0.00056603,             0.00056603,             0.00056603
                     63,                0.83078,                0.64281,                 1.3381,                0.98807,                0.85886,                0.90722,                0.78381,                    nan,                    nan,                    nan,             0.00055188,             0.00055188,             0.00055188
                     64,                0.85661,                0.67145,                 1.3716,                0.99105,                0.86397,                0.90382,                0.78535,                    nan,                    nan,                    nan,             0.00053773,             0.00053773,             0.00053773
                     65,                0.84714,                0.66524,                 1.3364,                0.98227,                0.85498,                0.89687,                0.78051,                    nan,                    nan,                    nan,             0.00052359,             0.00052359,             0.00052359
                     66,                0.82233,                0.60654,                  1.321,                0.99572,                0.84666,                0.89777,                0.77824,                    nan,                    nan,                    nan,             0.00050944,             0.00050944,             0.00050944
                     67,                0.80318,                0.61793,                 1.3075,                0.98927,                0.87465,                0.92678,                0.81162,                    nan,                    nan,                    nan,             0.00049529,             0.00049529,             0.00049529
                     68,                0.85018,                0.65336,                 1.3351,                 0.9814,                0.88289,                0.93014,                0.79052,                    nan,                    nan,                    nan,             0.00048114,             0.00048114,             0.00048114
                     69,                0.82664,                0.62983,                  1.327,                0.99027,                0.86474,                0.92363,                0.78835,                    nan,                    nan,                    nan,               0.000467,               0.000467,               0.000467
                     70,                0.80652,                0.62072,                 1.3126,                0.99796,                0.86407,                0.93803,                0.80781,                    nan,                    nan,                    nan,             0.00045285,             0.00045285,             0.00045285
                     71,                0.80204,                0.61467,                 1.3021,                0.98982,                0.86349,                0.93418,                0.80693,                    nan,                    nan,                    nan,              0.0004387,              0.0004387,              0.0004387
                     72,                0.82185,                0.59657,                 1.3077,                0.99084,                0.87822,                 0.9495,                0.81746,                    nan,                    nan,                    nan,             0.00042456,             0.00042456,             0.00042456
                     73,                0.79381,                0.60788,                 1.2982,                0.98358,                0.87569,                0.93052,                0.81387,                    nan,                    nan,                    nan,             0.00041041,             0.00041041,             0.00041041
                     74,                 0.8088,                0.61757,                 1.3175,                0.99264,                0.86738,                0.91335,                0.80646,                    nan,                    nan,                    nan,             0.00039626,             0.00039626,             0.00039626
                     75,                0.77893,                0.60327,                 1.3077,                0.99192,                0.87853,                0.93838,                0.82152,                    nan,                    nan,                    nan,             0.00038211,             0.00038211,             0.00038211
                     76,                0.76159,                0.58844,                 1.2714,                0.99154,                0.86383,                0.93301,                 0.8056,                    nan,                    nan,                    nan,             0.00036797,             0.00036797,             0.00036797
                     77,                0.81842,                0.61811,                 1.3111,                0.99474,                0.86698,                0.94167,                0.82047,                    nan,                    nan,                    nan,             0.00035382,             0.00035382,             0.00035382
                     78,                0.77228,                0.60995,                 1.2881,                0.99277,                0.87477,                0.93284,                0.82242,                    nan,                    nan,                    nan,             0.00033967,             0.00033967,             0.00033967
                     79,                0.81799,                0.60016,                 1.3156,                0.98594,                0.87542,                0.93581,                0.82098,                    nan,                    nan,                    nan,             0.00032553,             0.00032553,             0.00032553
                     80,                0.78185,                0.60225,                 1.2911,                0.98622,                0.86991,                0.93015,                0.83264,                    nan,                    nan,                    nan,             0.00031138,             0.00031138,             0.00031138
                     81,                0.78112,                0.57614,                 1.2749,                0.99002,                0.87163,                0.92154,                0.81853,                    nan,                    nan,                    nan,             0.00029723,             0.00029723,             0.00029723
